"Course","Term","FileName","Asset","Url","Bytes","Hash"
"EcoIV","20192","Repaso_2_Parcial2_4pm.pdf","EcoIV_20192_Repaso_2_Parcial2_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Parcial2_4pm.pdf","8212749","2DA3942E1A058E5B4EA5416E0899BA78"
"EcoIV","20192","Repaso_2_Parcial2_530pm.pdf","EcoIV_20192_Repaso_2_Parcial2_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Parcial2_530pm.pdf","7918586","C07C25DBDF1C458230CDEB16BDBE17F6"
"EcoIV","20192","Repaso_3_Final_4pm.pdf","EcoIV_20192_Repaso_3_Final_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_3_Final_4pm.pdf","8876358","ACF2C862BAC77E9E9A21E0FE200AB4DA"
"EcoIV","20192","Repaso_3_Final_530pm.pdf","EcoIV_20192_Repaso_3_Final_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_3_Final_530pm.pdf","6220320","4E8F902CBBF70A728B888E78540801B8"
"EcoIV","20192","Repaso_3_Parcial2_4pm.pdf","EcoIV_20192_Repaso_3_Parcial2_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_3_Parcial2_4pm.pdf","5099052","E9A6ABC75155C5CC83A03253B121A626"
"EcoIV","20192","Repaso_3_Parcial2_530pm.pdf","EcoIV_20192_Repaso_3_Parcial2_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_3_Parcial2_530pm.pdf","5413450","214A589B73886F65F7B30F9CA83C51ED"
"EcoIV","20192","Repaso_4_Final_4pm.pdf","EcoIV_20192_Repaso_4_Final_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_4_Final_4pm.pdf","3818790","BA1405786B393F298FC6DFFADA73F95F"
"EcoIV","20192","Repaso_4_Final_530pm.pdf","EcoIV_20192_Repaso_4_Final_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_4_Final_530pm.pdf","6735362","4778B7808AF5FAD35D228CA69BDA12DD"
"EcoIV","20192","Solucion_Parcial2_4pm.pdf","EcoIV_20192_Solucion_Parcial2_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Solucion_Parcial2_4pm.pdf","13540388","DAEFAD44A50B4CA77828DE960B45A4A6"
"EcoIV","20192","Solucion_Parcial2_530pm.pdf","EcoIV_20192_Solucion_Parcial2_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Solucion_Parcial2_530pm.pdf","11997719","6E9AEC5D05CDCB10265169150305A634"
