"Course","Term","Section","Label","Href","Status","Url","Asset","Local"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2017-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/18dic2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_18dic2017.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\18dic2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2018-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/21may2018.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_21may2018.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\21may2018.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2018-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/10dic2018.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_10dic2018.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\10dic2018.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2019-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/27mayo2019.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_27mayo2019.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\27mayo2019.pdf"
"EcoIV","2019-2","Syllabus","Syllabus","https://mauricio-romero.com/pdfs/EcoIV/20192/Temario.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Temario.pdf","","public_html\pdfs\EcoIV\20192\Temario.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 1","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture1.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture1.pdf","","public_html\pdfs\EcoIV\20192\Lecture1.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 2","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture2.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture2.pdf","","public_html\pdfs\EcoIV\20192\Lecture2.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 3","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture3.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture3.pdf","","public_html\pdfs\EcoIV\20192\Lecture3.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 4","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture4.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture4.pdf","","public_html\pdfs\EcoIV\20192\Lecture4.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 5","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture5.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture5.pdf","","public_html\pdfs\EcoIV\20192\Lecture5.pdf"
"EcoIV","2019-2","Equilibrio General","Lecture 6","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture6.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture6.pdf","","public_html\pdfs\EcoIV\20192\Lecture6.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 7","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture7.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture7.pdf","","public_html\pdfs\EcoIV\20192\Lecture7.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 8","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture8.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture8.pdf","","public_html\pdfs\EcoIV\20192\Lecture8.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 9","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture9.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture9.pdf","","public_html\pdfs\EcoIV\20192\Lecture9.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 10","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture10.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture10.pdf","","public_html\pdfs\EcoIV\20192\Lecture10.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 11","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture11.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture11.pdf","","public_html\pdfs\EcoIV\20192\Lecture11.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 12","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture12.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture12.pdf","","public_html\pdfs\EcoIV\20192\Lecture12.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 13","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture13.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture13.pdf","","public_html\pdfs\EcoIV\20192\Lecture13.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 14","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture14.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture14.pdf","","public_html\pdfs\EcoIV\20192\Lecture14.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 15","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture15.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture15.pdf","","public_html\pdfs\EcoIV\20192\Lecture15.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 16","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture16.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture16.pdf","","public_html\pdfs\EcoIV\20192\Lecture16.pdf"
